,hypervolume,epsilon_progress,nfe
0,0.0,0,0
1,0.0,14,100
2,0.0,14,200
3,0.0,14,300
4,0.0,14,400
5,0.0,15,500
6,0.0,16,600
7,0.0,16,700
8,1.1007118054470562e-05,17,800
9,0.0,18,900
10,0.0,18,1000
11,0.0,19,1100
12,0.0,19,1200
13,0.0,19,1300
14,0.0,19,1400
15,0.0,19,1500
16,0.0,20,1600
17,0.0,20,1700
18,0.0,21,1800
19,0.0,22,1900
20,0.0,22,2000
21,0.0,22,2100
22,0.0,22,2200
23,0.0,22,2300
24,0.0,22,2400
25,0.0,23,2500
26,0.0,24,2600
27,0.0,24,2700
28,0.0,24,2800
29,0.0,24,2900
30,0.0,24,3000
31,0.0,24,3100
32,0.0,24,3200
33,0.0,24,3300
34,0.0,24,3400
35,0.0,24,3500
36,0.0,24,3600
37,0.0,24,3700
38,0.0,24,3800
39,0.0,25,3900
40,0.0,25,4000
41,0.0,25,4100
42,0.0,25,4200
43,0.0,25,4300
44,0.0,26,4400
45,0.0,27,4500
46,0.0,27,4600
47,0.0,27,4700
48,0.0,27,4800
49,0.0,27,4900
50,0.0,27,5000
51,0.0,28,5100
52,0.0,28,5200
53,0.0,28,5300
54,0.0,28,5400
55,0.0,29,5500
56,0.0,29,5600
57,0.0,29,5700
58,0.0,29,5800
59,0.0,29,5900
60,0.0,29,6000
61,0.0,29,6100
62,0.0,29,6200
63,0.0,29,6300
64,0.0,30,6400
65,0.0,30,6500
66,0.0,30,6600
67,0.0,31,6700
68,0.0,31,6800
69,0.0,31,6900
70,0.0,31,7000
71,0.0,31,7100
72,0.0,31,7200
73,0.0,31,7300
74,0.0,31,7400
75,0.0,31,7500
76,0.0,31,7600
77,0.0,31,7700
78,0.0,33,7800
79,0.0,34,7900
80,0.0,34,8000
81,0.0,34,8100
82,0.0,35,8200
83,0.0,35,8300
84,0.0,36,8400
85,0.0,36,8500
86,0.0,36,8600
87,0.0,36,8700
88,0.0,37,8800
89,0.0,37,8900
90,0.0,37,9000
91,0.0,37,9100
92,0.0,37,9200
93,0.0,37,9300
94,0.0,37,9400
95,0.0,37,9500
96,0.0,37,9600
97,0.0,37,9700
98,0.0,37,9800
99,0.0,37,9900
100,0.0,38,10000
101,0.0,43,10040
