,groupForming,meanFreeFlowSpeed,obstPotentialHeight,pedPotentialHeight,sdFreeFlowSpeed,spawnFrequencyA,spawnFrequencyB,spawnFrequencyC,spawnFrequencyD,scenario,policy,model
1,"[[0.42, 0.46, 0.075, 0.03, 0.015], [0.42, 0.46, 0.075, 0.03, 0.015], [0.42, 0.46, 0.075, 0.03, 0.015], [0.42, 0.46, 0.075, 0.03, 0.015]]",0.7571053622436896,9.017644247201872,20.245344836637894,0.2128284310419257,2.0,3.0,4.0,1.0,1,None,model
2,"[[0.24, 0.64, 0.075, 0.03, 0.015], [0.24, 0.64, 0.075, 0.03, 0.015], [0.24, 0.64, 0.075, 0.03, 0.015], [0.24, 0.64, 0.075, 0.03, 0.015]]",0.9478843228752012,9.237988972003842,49.57382326500457,0.2010709631435309,1.0,1.0,5.0,1.0,2,None,model
3,"[[0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015]]",0.8120476155133206,9.385851944083567,49.97157852140677,0.2922434655248501,3.0,4.0,1.0,3.0,3,None,model
4,"[[0.34, 0.54, 0.075, 0.03, 0.015], [0.34, 0.54, 0.075, 0.03, 0.015], [0.34, 0.54, 0.075, 0.03, 0.015], [0.34, 0.54, 0.075, 0.03, 0.015]]",1.003327581084299,3.5776165327240568,44.399576326432886,0.1533771161991018,3.0,1.0,5.0,2.0,4,None,model
5,"[[0.23, 0.65, 0.075, 0.03, 0.015], [0.23, 0.65, 0.075, 0.03, 0.015], [0.23, 0.65, 0.075, 0.03, 0.015], [0.23, 0.65, 0.075, 0.03, 0.015]]",1.094791772657094,9.191181213716256,47.29498622683451,0.2825256078248664,4.0,2.0,2.0,4.0,5,None,model
6,"[[0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015]]",1.0457286622493895,8.464334161640785,42.24844413154129,0.2880112387017708,5.0,2.0,3.0,3.0,6,None,model
8,"[[0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015]]",1.0804691440403384,9.126127872275882,20.605238858123496,0.2650563307539264,2.0,2.0,5.0,1.0,8,None,model
9,"[[0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015]]",0.957020192127072,8.430520341139864,10.210585661942025,0.1904706740786977,1.0,5.0,1.0,2.0,9,None,model
11,"[[0.31, 0.57, 0.075, 0.03, 0.015], [0.31, 0.57, 0.075, 0.03, 0.015], [0.31, 0.57, 0.075, 0.03, 0.015], [0.31, 0.57, 0.075, 0.03, 0.015]]",0.8071358202320678,4.954265998179641,37.45236370677355,0.221385403539178,1.0,1.0,4.0,5.0,11,None,model
12,"[[0.43, 0.45, 0.075, 0.03, 0.015], [0.43, 0.45, 0.075, 0.03, 0.015], [0.43, 0.45, 0.075, 0.03, 0.015], [0.43, 0.45, 0.075, 0.03, 0.015]]",0.9560643003255508,7.563708789705652,5.082578626371883,0.2313104049159513,3.0,2.0,5.0,2.0,12,None,model
13,"[[0.22, 0.66, 0.075, 0.03, 0.015], [0.22, 0.66, 0.075, 0.03, 0.015], [0.22, 0.66, 0.075, 0.03, 0.015], [0.22, 0.66, 0.075, 0.03, 0.015]]",0.8544470231300223,8.764884104005105,29.29590797672909,0.192352835934439,3.0,3.0,4.0,1.0,13,None,model
15,"[[0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015]]",0.9589127506819172,2.4874498769696323,45.42545263845837,0.2893768444928447,1.0,3.0,1.0,1.0,15,None,model
16,"[[0.17, 0.71, 0.075, 0.03, 0.015], [0.17, 0.71, 0.075, 0.03, 0.015], [0.17, 0.71, 0.075, 0.03, 0.015], [0.17, 0.71, 0.075, 0.03, 0.015]]",0.7311375098725796,8.398911478135762,15.881794285846553,0.2279143294499722,1.0,2.0,2.0,2.0,16,None,model
17,"[[0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015]]",0.8758349754412476,7.219741794552991,12.865395725791709,0.2104842708091798,3.0,2.0,1.0,5.0,17,None,model
19,"[[0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015]]",0.8827898775416013,8.452741271013078,26.65855650362716,0.1980929869779115,2.0,4.0,2.0,1.0,19,None,model
20,"[[0.39, 0.49, 0.075, 0.03, 0.015], [0.39, 0.49, 0.075, 0.03, 0.015], [0.39, 0.49, 0.075, 0.03, 0.015], [0.39, 0.49, 0.075, 0.03, 0.015]]",0.9597231611729962,4.469622599980854,44.86406423373002,0.2745867039151087,4.0,2.0,2.0,5.0,20,None,model
21,"[[0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015]]",1.0335724193977054,9.514028842948113,42.41990138078377,0.2464264895775295,1.0,5.0,2.0,3.0,21,None,model
22,"[[0.29, 0.59, 0.075, 0.03, 0.015], [0.29, 0.59, 0.075, 0.03, 0.015], [0.29, 0.59, 0.075, 0.03, 0.015], [0.29, 0.59, 0.075, 0.03, 0.015]]",0.6738663603154548,6.773290203152933,25.15540463156172,0.1642246562257279,2.0,2.0,3.0,3.0,22,None,model
