,groupForming,meanFreeFlowSpeed,obstPotentialHeight,pedPotentialHeight,sdFreeFlowSpeed,spawnFrequencyA,spawnFrequencyB,spawnFrequencyC,spawnFrequencyD,scenario,policy,model
0,"[[0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015]]",0.9481925589080218,6.935441375158769,42.01262423688278,0.2620115358335539,4.0,2.0,5.0,3.0,0,None,model
7,"[[0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015]]",0.8718334448133779,9.530924702508951,11.82405129281966,0.2172216677471488,3.0,2.0,5.0,5.0,7,None,model
10,"[[0.19, 0.69, 0.075, 0.03, 0.015], [0.19, 0.69, 0.075, 0.03, 0.015], [0.19, 0.69, 0.075, 0.03, 0.015], [0.19, 0.69, 0.075, 0.03, 0.015]]",0.9123271309037836,5.777271964762387,31.405086223205807,0.2945236734660679,2.0,1.0,5.0,4.0,10,None,model
14,"[[0.41, 0.47, 0.075, 0.03, 0.015], [0.41, 0.47, 0.075, 0.03, 0.015], [0.41, 0.47, 0.075, 0.03, 0.015], [0.41, 0.47, 0.075, 0.03, 0.015]]",0.9855215986328364,9.227176195143011,10.899762316474618,0.1765755509226847,5.0,2.0,4.0,3.0,14,None,model
18,"[[0.25, 0.63, 0.075, 0.03, 0.015], [0.25, 0.63, 0.075, 0.03, 0.015], [0.25, 0.63, 0.075, 0.03, 0.015], [0.25, 0.63, 0.075, 0.03, 0.015]]",0.8772398966517934,4.808812662440466,14.592996293554837,0.1579317346540832,3.0,5.0,4.0,4.0,18,None,model
24,"[[0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015]]",0.9577361953115758,9.95779488764393,11.093912714185626,0.2398880748579822,4.0,1.0,5.0,3.0,24,None,model
26,"[[0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015]]",0.7175044657701837,9.98425885044654,40.46020957558886,0.2259114737970667,4.0,4.0,4.0,4.0,26,None,model
32,"[[0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015]]",0.9219934805344424,4.451653499976354,33.95456454733045,0.2890249608800473,3.0,3.0,4.0,3.0,32,None,model
34,"[[0.41, 0.47, 0.075, 0.03, 0.015], [0.41, 0.47, 0.075, 0.03, 0.015], [0.41, 0.47, 0.075, 0.03, 0.015], [0.41, 0.47, 0.075, 0.03, 0.015]]",0.7293295223445596,7.451417922569534,29.72020560347008,0.2500144439495365,4.0,4.0,5.0,3.0,34,None,model
35,"[[0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015]]",0.8665634582418297,9.0080106845489,10.488198720982275,0.1743066062947978,4.0,4.0,3.0,5.0,35,None,model
40,"[[0.23, 0.65, 0.075, 0.03, 0.015], [0.23, 0.65, 0.075, 0.03, 0.015], [0.23, 0.65, 0.075, 0.03, 0.015], [0.23, 0.65, 0.075, 0.03, 0.015]]",0.6734591077636387,5.872347962573853,31.09539725905943,0.2515677245365026,3.0,4.0,5.0,5.0,40,None,model
41,"[[0.33, 0.55, 0.075, 0.03, 0.015], [0.33, 0.55, 0.075, 0.03, 0.015], [0.33, 0.55, 0.075, 0.03, 0.015], [0.33, 0.55, 0.075, 0.03, 0.015]]",0.8551296038835502,7.8067075149924285,44.53582383167235,0.1895720186925528,2.0,5.0,3.0,5.0,41,None,model
46,"[[0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015]]",1.1032123667718596,4.783252629812472,43.379607294003314,0.1919015520840666,3.0,1.0,5.0,3.0,46,None,model
54,"[[0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015]]",0.8560106378527077,3.348648351177685,18.64157255443264,0.2540642911134914,2.0,4.0,5.0,4.0,54,None,model
62,"[[0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015]]",0.9318443764700904,8.896764933843311,9.796226680218997,0.1692385806358407,3.0,3.0,3.0,5.0,62,None,model
65,"[[0.28, 0.6, 0.075, 0.03, 0.015], [0.28, 0.6, 0.075, 0.03, 0.015], [0.28, 0.6, 0.075, 0.03, 0.015], [0.28, 0.6, 0.075, 0.03, 0.015]]",0.9001370006207838,3.027626249197224,12.35794608248775,0.2025570825704447,3.0,4.0,5.0,5.0,65,None,model
68,"[[0.34, 0.54, 0.075, 0.03, 0.015], [0.34, 0.54, 0.075, 0.03, 0.015], [0.34, 0.54, 0.075, 0.03, 0.015], [0.34, 0.54, 0.075, 0.03, 0.015]]",0.7383146702660731,3.0880964509397577,6.0070449811174935,0.2774456058433475,5.0,3.0,5.0,4.0,68,None,model
70,"[[0.26, 0.62, 0.075, 0.03, 0.015], [0.26, 0.62, 0.075, 0.03, 0.015], [0.26, 0.62, 0.075, 0.03, 0.015], [0.26, 0.62, 0.075, 0.03, 0.015]]",0.7084615825384294,9.96284653916075,25.687513537087508,0.2223099654102554,2.0,3.0,2.0,5.0,70,None,model
73,"[[0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015], [0.32, 0.56, 0.075, 0.03, 0.015]]",0.7796064763570821,9.447826312993126,33.61349322788185,0.222855381235908,3.0,3.0,3.0,5.0,73,None,model
