,meanSpeed,meanDensityArea1,maxDensityArea1,meanDensityArea2,maxDensityArea2,meanDensityArea3,maxDensityArea3,meanDensityArea4,maxDensityArea4
0,0.6469082777624434,0.118320397335485,0.3399793235858827,0.0397471541696839,0.1317179422460295,0.3566635012273605,0.7701357206392835,0.2149949792015764,0.509934036418226
7,0.6171160446893783,0.1213836133828301,0.3627233791168234,0.034936675878308,0.1184433164128597,0.2101467590942907,0.3953975495681567,0.1761882438252707,0.4491053442351069
10,0.6687255238947998,0.403936167896721,0.8111061881553724,0.0649563546675216,0.2023913023155811,0.2939400185262185,0.5735846891050401,0.3213547044196774,0.8207923529644259
14,0.7065007228211895,0.1029384161772645,0.273519421060406,0.0375352131219538,0.125548045732021,0.4500959748849943,0.8923703767467106,0.1905039320539104,0.4609550894655846
18,0.6879758067620191,0.0380389533286144,0.1346920691182992,0.0276714234758715,0.1011489095175329,0.3433215575333125,0.6487618719692326,0.2339451295422688,0.5442982975866114
24,0.6906176561155362,0.3153512077814882,0.6581007236744973,0.0522266134534508,0.1650914733899844,0.3698465442125172,0.778743795013046,0.2158841035116985,0.5202038156179734
26,0.5118134734958806,0.0409691907308001,0.1497563136907406,0.0218881231577787,0.0867524843181798,0.2551671023861253,0.6301110441594137,0.1443859196071134,0.4182960066358646
32,0.6964660798495931,0.0650983424153043,0.207354895879487,0.0353474808918871,0.1219956810724404,0.4140483773779754,0.8321138561303733,0.2607966837079582,0.6169767350002086
34,0.5458676304519534,0.0393852150105825,0.1485748043125099,0.0209145562443646,0.0812369707677783,0.3060118997197021,0.769561849014366,0.2060549522886489,0.5865623889086489
35,0.5879341016190361,0.0435746307341893,0.1583222566829132,0.0276896731999561,0.097503061577437,0.3797406854747899,0.7577974807035572,0.1346511886647846,0.3333728324841074
40,0.5488041293309464,0.049397447869135,0.1698419731206625,0.0231257524053974,0.0913331650634285,0.2009373770019892,0.4042925597543779,0.1801696323290036,0.4826796223881271
41,0.5873349240593925,0.0610160156891267,0.1881553684832382,0.037913615564199,0.1334006412953045,0.3547418315032843,0.7411552035809498,0.2605055545090687,0.7611486353043545
46,0.8191487734061388,0.3546175657729459,0.7168808152414744,0.0679653244813978,0.1897710594460184,0.4213829597394707,0.7973946228228647,0.3112359976690835,0.6932100959829486
54,0.6733462897776474,0.0646946992711478,0.2029242357111219,0.0361973966135439,0.1201260154621348,0.2844745662267825,0.5512036957332576,0.3268735698278162,0.8065726586878524
62,0.649807669831784,0.0665446322816843,0.2085364052577177,0.0334293976462548,0.1204999485841959,0.3854199568544517,0.7357034231442334,0.1983266523116401,0.4684599281115538
65,0.718546858486949,0.043062721790434,0.1603898980948168,0.0240218511022889,0.0860046180740576,0.2144004967761991,0.4094574043786354,0.1836710510724051,0.4467353951890113
68,0.6395323001817065,0.0520970320460884,0.2017427263328912,0.0236028523350391,0.0836675360611755,0.2600690177798428,0.5273880232991814,0.1278781071944027,0.318363155192169
70,0.4997711339702567,0.0891192283002096,0.2478215920838883,0.0456943295611899,0.1744398014415125,0.377710414546795,0.997388884106613,0.2188315899415372,0.6999249516135528
73,0.5375500884354942,0.0684463445876811,0.2168069709053326,0.032003312064211,0.117882416729768,0.3240339837173602,0.7279561562078473,0.1740763768798125,0.4913694355571442
84,0.806031900527346,0.0387309130043113,0.1586176340274708,0.0262561387509389,0.1036729580914455,0.3885030878751737,0.7448853691429135,0.1223985835698976,0.3179681636844863
92,0.5736829975204463,0.0422825019520207,0.139418106631222,0.0272416238515104,0.0986248609436203,0.3950957525383196,0.9184815356804568,0.2563321781012033,0.6805703677371058
101,0.7358915781342533,0.104015190162405,0.3125092305420189,0.0338241875958413,0.1093754382028776,0.2749771051514546,0.5058678373647753,0.1353703564696092,0.3140182486076604
102,0.7249108175591182,0.1065194251792127,0.2944912125240008,0.0351422646067719,0.1122734198988513,0.4358017701081648,0.8550687211270733,0.1872495797117287,0.4566101828810761
104,0.8582232161815213,0.3202984841022867,0.670211194801362,0.0648345656925076,0.1888362266408656,0.4777755638374393,0.8622421164385422,0.2202888096073304,0.5103290279259086
106,0.7947830566247319,0.2930413922511121,0.614975631369077,0.0621336065279785,0.1780856493816084,0.4652681346577135,0.8854839172477006,0.2779213752880456,0.6288264802306861
110,0.64820130774724,0.0455716640159199,0.1609806527839322,0.0260743863967897,0.0893700161726076,0.3871735805050959,0.7431637542681611,0.2070998700619606,0.4680649366038712
113,0.7348681056957961,0.0643228297855692,0.2020381036774489,0.0283023425085124,0.0969421618943453,0.2939114392620294,0.5428825571719539,0.3417793848109617,0.8089426077339481
114,0.6043222399844431,0.4264978190913812,0.8701816570669073,0.0752670763320037,0.2510026081835269,0.4147102731365954,0.8806060084359022,0.3122840627850859,0.8733262234862106
115,0.7208093482832745,0.0366797468227813,0.1346920691182992,0.0201219967984024,0.0785259556328352,0.2190909256149172,0.4080227253163417,0.1869883502684008,0.4261958367895165
116,0.7348047706612042,0.0539928603412375,0.1769310293900465,0.0285772056998283,0.1043273410550524,0.4022371390738965,0.7250867980832597,0.2046449427632162,0.4593751234348542
120,0.6734733419153859,0.0405914372343738,0.1553684832373364,0.0245782814651966,0.088809116489516,0.2641924340170489,0.4961120197411777,0.1310978387669867,0.3171781806691212
124,0.6188562333324064,0.06666113569647,0.2120809333924098,0.0356476702309122,0.1228370305970779,0.2734155341561612,0.5236578577372176,0.2895602485582467,0.7907729983805488
127,0.6089951373328869,0.1278830917652685,0.329641116526364,0.0410421396929972,0.1455534677622909,0.3627097303592105,0.7437376258930786,0.1720573565437297,0.4368606074969465
129,0.7564355722764813,0.3250186376043618,0.7029980800472638,0.0617060415637094,0.1807966645165515,0.4645822323171746,0.8622421164385421,0.1784999670315884,0.4084212189437999
131,0.6013382894984305,0.052603056978996,0.1748633879781429,0.0359139672252088,0.1240523132437765,0.4119323686574131,0.843878224441182,0.2211716392320711,0.54864320417112
132,0.8859920365884667,0.0381625175564175,0.1405996160094527,0.0182054033261649,0.0820783202924158,0.2773446113968812,0.5314051246736039,0.0779864308614589,0.2231702018406643
134,0.869999353250621,0.0950408968173977,0.2682026288583678,0.0330256690563004,0.1159192678389472,0.3365928555726264,0.6266678144099088,0.1278670914949852,0.3385077220839811
138,0.6317629966137545,0.3529570979117073,0.7239698715108586,0.0626159206645015,0.2155724448682357,0.382779232843377,0.7385727812688211,0.1804214197442595,0.4443654461429157
139,0.7490760958057231,0.031907814025246,0.1302614089499341,0.0202936931821377,0.0767497733030448,0.3594745576530023,0.6542136524059486,0.1183133327573716,0.2903187581467049
140,0.8400743198775421,0.0433074966417009,0.1497563136907405,0.0200232993110058,0.0887156332090007,0.2757064479735609,0.5193538205503365,0.1257819769623978,0.303748469407913
144,0.769632232205584,0.3085269320002534,0.6359474228326718,0.0539875256059458,0.1634087743407094,0.2891146955605277,0.5454649794840827,0.1719440522068646,0.4100011849745302
148,0.7214839652698701,0.0608595010005762,0.2070595185349293,0.0300256378827921,0.1026446420057774,0.3770965319520128,0.6708559295285562,0.397932699427049,0.918355255362026
159,0.8086217829619647,0.0548931140009451,0.1934721606852763,0.0271939511028811,0.0949790130035244,0.3831770562008896,0.7621015178904386,0.1903339755486127,0.4656949875577758
167,0.6371122204062497,0.0551261208305165,0.1943582927189493,0.0264937576073881,0.0938572136373411,0.359512282281732,0.7727181429514122,0.1842218360432773,0.4688549196192364
168,0.5760974189051599,0.1364596259769671,0.3458868704770361,0.0359419004763587,0.1299417599162392,0.3037106973671944,0.6536397807810311,0.1946946188465746,0.5300786033100383
173,0.7317374053872602,0.1136284870854792,0.3260965883916719,0.0431278224455293,0.1417206532611644,0.3924938963265422,0.7305385785199762,0.1873030845374705,0.4396255480507246
183,0.5415673298477918,0.0683616148314733,0.1893368778614689,0.0383095228438314,0.1469557169700202,0.3386025494304052,0.7503371495796298,0.2343763154908943,0.7500888730892418
184,0.64875585006892,0.3339846933341822,0.6764141190370732,0.0520426264392096,0.1721962027091457,0.3141055473380605,0.6223637772230274,0.1673992893614967,0.400521388790148
192,0.6995725733667304,0.0580610654413804,0.1857923497267768,0.0371862337042534,0.1203129820231653,0.4290113369368303,0.8562164643769083,0.3680596962782895,0.8974207054548486
203,0.6348889376489154,0.1194218841661862,0.3464776251661515,0.0406045187583141,0.138916154845706,0.2778144545001503,0.5391523916099902,0.2247422995146679,0.5561480428170893
