,groupForming,meanFreeFlowSpeed,obstPotentialHeight,pedPotentialHeight,sdFreeFlowSpeed,spawnFrequencyA,spawnFrequencyB,spawnFrequencyC,spawnFrequencyD,scenario,policy,model
3,"[[0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015], [0.44, 0.44, 0.075, 0.03, 0.015]]",0.8120476155133206,9.385851944083567,49.97157852140677,0.2922434655248501,3.0,4.0,1.0,3.0,3,None,model
9,"[[0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015], [0.18, 0.7, 0.075, 0.03, 0.015]]",0.957020192127072,8.430520341139864,10.210585661942025,0.1904706740786977,1.0,5.0,1.0,2.0,9,None,model
15,"[[0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015]]",0.9589127506819172,2.4874498769696323,45.42545263845837,0.2893768444928447,1.0,3.0,1.0,1.0,15,None,model
19,"[[0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015]]",0.8827898775416013,8.452741271013078,26.65855650362716,0.1980929869779115,2.0,4.0,2.0,1.0,19,None,model
21,"[[0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015], [0.2, 0.68, 0.075, 0.03, 0.015]]",1.0335724193977054,9.514028842948113,42.41990138078377,0.2464264895775295,1.0,5.0,2.0,3.0,21,None,model
37,"[[0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015], [0.21, 0.67, 0.075, 0.03, 0.015]]",0.9418522358271852,6.938154890312669,28.94882025168238,0.2139589122312685,4.0,2.0,1.0,2.0,37,None,model
39,"[[0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015], [0.37, 0.51, 0.075, 0.03, 0.015]]",1.012143011139082,9.613223447952135,24.893289013634107,0.2264471955294703,1.0,2.0,2.0,1.0,39,None,model
49,"[[0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015], [0.16, 0.72, 0.075, 0.03, 0.015]]",1.1444829587975116,8.229486433914413,45.74859564624831,0.2178543355851417,1.0,3.0,2.0,3.0,49,None,model
57,"[[0.5, 0.38, 0.075, 0.03, 0.015], [0.5, 0.38, 0.075, 0.03, 0.015], [0.5, 0.38, 0.075, 0.03, 0.015], [0.5, 0.38, 0.075, 0.03, 0.015]]",0.7684180696406226,5.933313200305157,40.80135077434758,0.2854254710401451,3.0,3.0,1.0,2.0,57,None,model
58,"[[0.43, 0.45, 0.075, 0.03, 0.015], [0.43, 0.45, 0.075, 0.03, 0.015], [0.43, 0.45, 0.075, 0.03, 0.015], [0.43, 0.45, 0.075, 0.03, 0.015]]",1.0490690222114618,5.023633372188373,29.473724354982583,0.2085525708145896,3.0,5.0,1.0,3.0,58,None,model
60,"[[0.39, 0.49, 0.075, 0.03, 0.015], [0.39, 0.49, 0.075, 0.03, 0.015], [0.39, 0.49, 0.075, 0.03, 0.015], [0.39, 0.49, 0.075, 0.03, 0.015]]",0.8960161541506277,5.21904569622866,8.679987754935688,0.1793898275911539,1.0,3.0,1.0,2.0,60,None,model
66,"[[0.38, 0.5, 0.075, 0.03, 0.015], [0.38, 0.5, 0.075, 0.03, 0.015], [0.38, 0.5, 0.075, 0.03, 0.015], [0.38, 0.5, 0.075, 0.03, 0.015]]",0.7767332661033753,6.10748516643939,39.655009354956135,0.2275483157265436,5.0,2.0,1.0,1.0,66,None,model
74,"[[0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015], [0.48, 0.4, 0.075, 0.03, 0.015]]",1.1345959321786858,2.1249932722237914,6.835651077006186,0.2629108029069683,1.0,4.0,2.0,2.0,74,None,model
75,"[[0.47, 0.41, 0.075, 0.03, 0.015], [0.47, 0.41, 0.075, 0.03, 0.015], [0.47, 0.41, 0.075, 0.03, 0.015], [0.47, 0.41, 0.075, 0.03, 0.015]]",1.060338589509376,7.035889900379521,34.139517362574935,0.2067018754180029,3.0,1.0,1.0,1.0,75,None,model
