pedestrianId targetId reachTime-PID7
1 1002 Infinity
2 1002 Infinity
3 1002 Infinity
4 1002 Infinity
5 1004 Infinity
6 1004 Infinity
7 1002 Infinity
8 1002 Infinity
9 1003 Infinity
10 1003 Infinity
11 1002 Infinity
12 1002 Infinity
13 1002 31.199999999999953
14 1002 30.399999999999956
15 1002 30.799999999999955
16 1004 Infinity
17 1004 Infinity
18 1002 29.59999999999996
19 1002 29.19999999999996
20 1004 Infinity
21 1004 Infinity
22 1003 Infinity
23 1003 Infinity
24 1002 Infinity
25 1002 Infinity
26 1003 Infinity
27 1003 Infinity
28 1003 Infinity
29 1004 Infinity
30 1004 Infinity
31 1003 Infinity
32 1003 Infinity
33 1003 Infinity
34 1003 Infinity
35 1003 Infinity
36 1003 Infinity
37 1003 Infinity
38 1003 Infinity
39 1003 Infinity
40 1002 Infinity
41 1002 Infinity
42 1004 Infinity
43 1004 Infinity
44 1003 Infinity
45 1002 Infinity
46 1002 Infinity
47 1002 Infinity
48 1002 Infinity
49 1003 Infinity
50 1003 Infinity
51 1003 Infinity
52 1003 Infinity
53 1002 Infinity
54 1002 Infinity
55 1002 Infinity
56 1004 Infinity
57 1004 Infinity
58 1004 Infinity
59 1004 Infinity
60 1003 Infinity
61 1003 Infinity
62 1003 Infinity
63 1003 Infinity
64 1002 Infinity
65 1002 Infinity
66 1002 Infinity
67 1002 Infinity
68 1002 Infinity
69 1004 Infinity
70 1004 Infinity
71 1003 Infinity
72 1003 Infinity
73 1004 Infinity
74 1004 Infinity
75 1002 Infinity
76 1004 Infinity
77 1001 Infinity
78 1001 Infinity
79 1004 Infinity
80 1002 Infinity
81 1001 Infinity
82 1002 Infinity
83 1002 Infinity
84 1002 Infinity
85 1002 Infinity
86 1001 Infinity
87 1001 Infinity
88 1001 39.59999999999992
89 1001 Infinity
90 1001 Infinity
91 1001 Infinity
92 1001 Infinity
93 1002 Infinity
94 1001 Infinity
95 1001 Infinity
96 1002 Infinity
97 1002 Infinity
98 1002 Infinity
99 1002 Infinity
100 1002 Infinity
101 1001 Infinity
102 1001 Infinity
103 1001 Infinity
104 1004 Infinity
105 1004 Infinity
106 1004 Infinity
107 1001 Infinity
108 1001 Infinity
109 1002 Infinity
110 1002 Infinity
111 1002 Infinity
112 1002 Infinity
113 1002 Infinity
114 1002 Infinity
115 1004 Infinity
116 1004 Infinity
117 1004 Infinity
118 1004 Infinity
119 1004 Infinity
120 1002 Infinity
121 1002 Infinity
122 1004 Infinity
123 1004 Infinity
124 1002 Infinity
125 1002 Infinity
126 1001 Infinity
127 1001 Infinity
128 1002 Infinity
129 1002 Infinity
130 1004 Infinity
131 1004 Infinity
132 1004 Infinity
133 1002 Infinity
134 1002 Infinity
135 1001 Infinity
136 1001 Infinity
137 1001 Infinity
138 1004 Infinity
139 1004 Infinity
140 1002 Infinity
141 1002 Infinity
142 1004 Infinity
143 1004 Infinity
144 1001 Infinity
145 1001 Infinity
146 1004 Infinity
147 1004 Infinity
148 1001 Infinity
149 1004 Infinity
150 1002 Infinity
151 1001 Infinity
152 1001 Infinity
153 1001 Infinity
154 1001 Infinity
155 1001 Infinity
156 1001 Infinity
157 1001 Infinity
158 1003 Infinity
159 1003 Infinity
160 1003 Infinity
161 1003 Infinity
162 1003 Infinity
163 1003 Infinity
164 1001 Infinity
165 1001 Infinity
166 1001 Infinity
167 1002 Infinity
168 1002 Infinity
169 1002 Infinity
170 1002 Infinity
171 1004 Infinity
172 1004 Infinity
173 1004 Infinity
174 1004 Infinity
175 1004 Infinity
176 1004 Infinity
177 1003 Infinity
178 1003 Infinity
179 1001 Infinity
180 1001 Infinity
181 1001 Infinity
182 1004 Infinity
183 1004 Infinity
184 1001 Infinity
185 1001 Infinity
186 1003 Infinity
187 1003 Infinity
188 1003 Infinity
189 1003 Infinity
190 1001 Infinity
191 1001 Infinity
